Open,https://downloads.hmpdacc.org/ihmp/t2d/transcriptome/microbiome/raw/HMP2_J17759_R_ST_T0_B0_0120_ZOZOW1T-2001_HC7NYBGXX.raw.fastq.tar,microb_transcriptomics_raw_seq_set,FASTQ,9.86 GB
Open,https://downloads.hmpdacc.org/ihmp/t2d/transcriptome/microbiome/raw/HMP2_J17757_R_ST_T0_B0_0120_ZOZOW1T-66_HC7NYBGXX.tar,microb_transcriptomics_raw_seq_set,FASTQ,3.54 GB
Open,https://downloads.hmpdacc.org/ihmp/t2d/transcriptome/microbiome/raw/HMP2_J27243_R_ST_T0_B0_0120_ZOZOW1T-57_AJHDT.raw.fastq.tar,microb_transcriptomics_raw_seq_set,FASTQ,1.62 GB
Open,https://downloads.hmpdacc.org/ihmp/t2d/transcriptome/microbiome/raw/HMP2_J27242_R_ST_T0_B0_0120_ZOZOW1T-58b_AJHDT.raw.fastq.tar,microb_transcriptomics_raw_seq_set,FASTQ,1.17 GB
Open,https://downloads.hmpdacc.org/ihmp/t2d/transcriptome/microbiome/raw/HMP2_J27242_R_ST_T0_B0_0120_ZOZOW1T-58b_AGHU5.raw.fastq.tar,microb_transcriptomics_raw_seq_set,FASTQ,948.29 MB
Open,https://downloads.hmpdacc.org/ihmp/t2d/transcriptome/microbiome/raw/HMP2_J27243_R_ST_T0_B0_0120_ZOZOW1T-57_AGHU5.raw.fastq.tar,microb_transcriptomics_raw_seq_set,FASTQ,936.45 MB
Open,https://downloads.hmpdacc.org/ihmp/t2d/transcriptome/microbiome/raw/HMP2_J17758_R_ST_T0_B0_0120_ZOZOW1T-6023B_HC7NYBGXX.raw.fastq.tar,microb_transcriptomics_raw_seq_set,FASTQ,818.33 MB
Open,https://downloads.hmpdacc.org/ihmp/t2d/transcriptome/microbiome/raw/HMP2_J27248_R_ST_T0_B0_0120_ZOZOW1T-64_AGHU5.raw.fastq.tar,microb_transcriptomics_raw_seq_set,FASTQ,816.24 MB
Open,https://downloads.hmpdacc.org/ihmp/t2d/transcriptome/microbiome/raw/HMP2_J27247_R_ST_T0_B0_0120_ZOZOW1T-63_AGHU5.raw.fastq.tar,microb_transcriptomics_raw_seq_set,FASTQ,785.24 MB
Open,https://downloads.hmpdacc.org/ihmp/t2d/transcriptome/microbiome/raw/HMP2_J27246_R_ST_T0_B0_0120_ZOZOW1T-62_AGHU5.raw.fastq.tar,microb_transcriptomics_raw_seq_set,FASTQ,661.49 MB
